judul,translated_text
Bangka Belitung Terluka karena Kekayaannya,bangka belitung is hurt because of its wealth
Perhitungan Kerugian Alam Tambang Timah di Bangka Belitung yang Nilainya Triliunan,"calculation of natural losses from tin mining in bangka belitung, worth trillions"
"Kerugian Lingkungan di Kasus Korupsi Capai Rp 271 T, Ini Kata Bos PT Timah","environmental losses in corruption cases reach idr 271 t, this is what the boss of pt timah says"
Mencari Jalan Baru untuk Lindungi Penerimaan Negara,looking for new ways to protect state revenues
Kata Bos PT Timah soal Heboh Kerugian Lingkungan Rp 271 Triliun,said the boss of pt timah about the exciting environmental losses of idr 271 trillion
Bos PT Timah Ungkap Produksi Turun 3 Tahun Berturut-turut,pt timah boss reveals production has dropped for 3 consecutive years
Bos PT Timah Buka Suara soal Kerugian Lingkungan Rp 271 Triliun,pt timah boss opens voice about environmental losses of idr 271 trillion
Kejagung Periksa Robert Bonosusatya di Kasus Korupsi Timah,attorney general examines robert bonosusatya in tin corruption case
Kediaman Harvey Moeis di Pakubuwono Digeledah Kejagung!,harvey moeis' residence in pakubuwono was searched for corn!
Memahami Kasus Korupsi Timah yang Timbulkan Kerugian Lingkungan Rp 271 T,understanding tin corruption cases that cause environmental losses of idr 271 t
Kejagung Bongkar Peran Suami Sandra Dewi di Kasus Korupsi Timah,attorney general's office reveals the role of sandra dewi's husband in the tin corruption case
Peran Kunci Suami Sandra Dewi dalam Korupsi Timah Terbongkar! Ada Tambang Ilegal,sandra dewi's husband's key role in tin corruption revealed! there are illegal mining
Harvey Moeis di Balik Jeruji tapi Belum Bisa Dijenguk Sandra Dewi,harvey moeis is behind bars but has not been able to visit sandra dewi
Menyala! 13 Rakit Penambang Emas Ilegal di Bungo Dibakar Petugas,light up! 13 rafts of illegal gold miners in bungo burned by officers
Kerusakan Imbas Tambang Timah yang Seret Harvey Moeis 2 Kali Luas Jakarta,damage caused by tin mining that dragged harvey moeis twice the area of ​​jakarta
Ini Kronologi Keterlibatan Suami Sandra Dewi Harvey Moeis dalam Korupsi Timah,this is the chronology of sandra dewi harvey moeis' husband's involvement in tin corruption
Fakta-fakta Korupsi Timah Rp 271 Triliun yang Jerat Suami Sandra Dewi,facts about the rp. 271 trillion tin corruption that ensnared sandra dewi's husband
6 Hal soal Kasus Timah Diusut Jaksa Usai Harvey Moeis Jadi Tersangka,prosecutors investigate 6 things about the tin case after harvey moeis becomes a suspect
Peran Suami Sandra Dewi dalam Kasus Korupsi Massal PT Timah,the role of sandra dewi's husband in the pt timah mass corruption case
Begini Dugaan Kongkalikong Suami Sandra Dewi dan Eks Dirut Timah,this is the alleged conspiracy between sandra dewi's husband and the former ceo of timah
Duduk Perkara Harvey Moeis Suami Sandra Dewi Tersangka Korupsi Komoditas Timah,"the sitting case of harvey moeis, sandra dewi's husband, suspect of tin commodity corruption"
5 Fakta Harvey Moeis Suami Sandra Dewi Tersangka Korupsi Komoditas Timah,"5 facts about harvey moeis, sandra dewi's husband, suspect in tin commodity corruption"
Jerat Tersangka Korupsi Timah: Crazy Rich PIK hingga Suami Sandra Dewi,the snare of tin corruption suspects: crazy rich pik and sandra dewi's husband
Kejagung Jelaskan Kaitan Harvey Moeis dengan Helena Lim di Kasus Timah,attorney general explains relationship between harvey moeis and helena lim in the tin case
"Peran Harvey Moeis, Suami Sandra Dewi di Kasus Korupsi Timah","the role of harvey moeis, sandra dewi's husband in the tin corruption case"
Kasus Ini yang Bikin Harvey Moeis Suami Sandra Dewi Ditahan Kejagung,this case made sandra dewi's husband harvey moeis arrested for maize
"Harvey Moeis Suami Sandra Dewi Tersangka Korupsi Timah, Pakai Rompi Pink","harvey moeis, sandra dewi's husband, suspect in tin corruption, wears a pink vest"
"Suami Sandra Dewi, Harvey Moeis Jadi Tersangka Korupsi Timah!","sandra dewi's husband, harvey moeis, is a suspect in tin corruption!"
Momen Harvey Moeis Suami Sandra Dewi Digiring ke Mobil Tahanan Kejagung,"the moment harvey moeis, sandra dewi's husband, was taken to the ago's detention car"
"Harvey Moeis Suami Sandra Dewi Tersangka Kejagung, Langsung Ditahan","harvey moeis husband of sandra dewi suspected of maize, directly arrested"
"Jalan di Sleman Rusak Akibat Tambang Ilegal, Pemkab: Diperbaiki Penambang","road in sleman damaged due to illegal mining, regency government: repaired by miners"
Dalih Salurkan CSR Bikin Crazy Rich Helena Lim Dijerat Jadi Tersangka,the pretext of distributing csr makes crazy rich helena lim charged as a suspect
Kejagung Periksa 142 Saksi di Kasus Korupsi Komoditas Timah,attorney general examines 142 witnesses in tin commodity corruption case
"Jadi Tersangka Ke-15, Ini Peran Crazy Rich Helena Lim di Kasus Korupsi Timah","becoming the 15th suspect, this is the role of crazy rich helena lim in the tin corruption case"
"Crazy Rich Helena Lim Jadi Tersangka di Kejagung, Langsung Ditahan","crazy rich helena lim becomes a suspect at the attorney general's office, immediately detained"
"Jalan di Sleman Rusak Akibat Tambang Ilegal, ORI DIY Turun Tangan","road in sleman damaged due to illegal mining, ori diy intervenes"
Deportasi 4 WNA Sri Lanka Nekat Tambang Emas Ilegal di Gorontalo,deportation of 4 sri lankan foreigners desperate for illegal gold mining in gorontalo
4 WN Sri Lanka Dideportasi gegara Jadi Penambang Emas Ilegal di Gorontalo,4 sri lankan citizens deported for being illegal gold miners in gorontalo
Limbah Tambang Timah Pinggir Sungai Dikeluhkan Warga Bangka Barat,west bangka residents complaint about riverside tin mine waste
Bupati Blora Ungkap Longsor di Bengawan Solo Imbas Tambang Pasir Ilegal,blora regent reveals landslide in bengawan solo caused by illegal sand mining
Kejagung Tetapkan Tersangka ke-14 Kasus Korupsi Komoditas Timah,attorney general names 14th suspect in tin commodity corruption case
2 Hektare Lahan Kritis Dekat Bandara Pangkalpinang Ditanami Pohon,2 hectares of critical land near pangkalpinang airport planted with trees
Peran Eks Dirops PT Timah dalam Kasus Korupsi Rp 271 T,role of ex-director of pt timah in corruption case rp. 271 t
Eks Dirops PT Timah Jadi Tersangka Korupsi Rugikan Negara Rp 271 T,"ex-dropped by pt timah becomes corruption suspect, losing the state idr 271 t"
"Polisi Tutup Tambang Emas Ilegal di Madina, 2 Ekskavator Disita","police close illegal gold mine in madina, 2 excavators confiscated"
"Tersangka Dugaan Korupsi Timah di Babel Bertambah, Kejagung Tahan 13 Orang","suspects for alleged tin corruption in babel increase, attorney general arrests 13 people"
Kejagung Akan Bentuk Satgas untuk Evaluasi Tata Kelola Penambangan Timah,ago will form task force to evaluate tin mining governance
Kejagung: Perusahaan Boneka Terkait Kasus Korupsi Timah Harus Stop Operasi,attorney general's office: puppet companies related to tin corruption cases must stop operations
Kejagung Tetapkan Tersangka Ke-13 Kasus Korupsi Komoditas Timah,attorney general names 13th suspect in tin commodity corruption case
Kejagung Tetapkan 5 Tersangka Baru Kasus Korupsi Komoditas Timah,attorney general names 5 new suspects in tin commodity corruption case
Polisi Buru Pemilik Sumur Minyak Ilegal yang Terbakar di Batanghari,police hunt for owner of burned illegal oil well in batanghari
3 Pekerja Ditetapkan Tersangka Kebakaran Sumur Minyak Ilegal di Batanghari,3 workers named suspects in illegal oil well fire in batanghari
"Sumur Minyak Ilegal di Jambi Terbakar, 1 Pekerja Tewas","illegal oil well in jambi burns, 1 worker dies"
Kronologi Sumur Minyak Ilegal di Batanghari Terbakar Tewaskan 1 Korban,chronology of illegal oil well in batanghari burns killing 1 victim
